movieId,userId,rating
1,1,4.0
1,5,4.0
1,7,4.5
1,15,2.5
1,17,4.5
1,18,3.5
1,19,4.0
1,21,3.5
1,27,3.0
1,31,5.0
1,32,3.0
1,33,3.0
1,40,5.0
1,43,5.0
1,44,3.0
1,45,4.0
1,46,5.0
1,50,3.0
1,54,3.0
1,57,5.0
1,63,5.0
1,64,4.0
1,66,4.0
1,68,2.5
1,71,5.0
1,73,4.5
1,76,0.5
1,78,4.0
1,82,2.5
1,86,4.0
1,89,3.0
1,90,3.0
1,91,4.0
1,93,3.0
1,96,5.0
1,98,4.5
1,103,4.0
1,107,4.0
1,112,3.0
1,119,3.5
1,121,4.0
1,124,4.0
1,130,3.0
1,132,2.0
1,134,3.0
1,135,4.0
1,137,4.0
1,140,3.0
1,141,4.0
1,144,3.5
1,145,5.0
1,151,5.0
1,153,2.0
1,155,3.0
1,156,4.0
1,159,4.5
1,160,4.0
1,161,4.0
1,166,5.0
1,167,3.5
1,169,4.5
1,171,5.0
1,177,5.0
1,178,4.0
1,179,4.0
1,182,4.0
1,185,4.0
1,186,4.0
1,191,4.0
1,193,2.0
1,200,3.5
1,201,5.0
1,202,4.0
1,206,5.0
1,213,3.5
1,214,3.0
1,216,3.0
1,217,4.0
1,219,3.5
1,220,5.0
1,223,3.5
1,226,3.5
1,229,5.0
1,232,3.5
1,233,3.0
1,234,5.0
1,239,4.0
1,240,5.0
1,247,5.0
1,249,4.0
1,252,4.5
1,254,4.5
1,263,4.0
1,264,4.0
1,266,2.0
1,269,5.0
1,270,5.0
1,273,5.0
1,274,4.0
1,275,5.0
1,276,4.0
1,277,4.0
1,279,3.0
1,280,4.5
1,282,4.5
1,283,3.0
1,288,4.5
1,290,4.0
1,291,4.0
1,292,4.0
1,293,3.0
1,298,2.0
1,304,5.0
1,307,4.0
1,314,3.0
1,322,3.5
1,323,3.5
1,328,5.0
1,330,4.0
1,332,4.0
1,334,3.5
1,336,4.0
1,337,4.0
1,339,4.0
1,341,5.0
1,347,5.0
1,350,4.0
1,353,5.0
1,357,5.0
1,359,4.0
1,364,5.0
1,367,5.0
1,372,3.0
1,373,3.0
1,378,4.5
1,380,5.0
1,381,3.5
1,382,4.5
1,385,4.0
1,389,5.0
1,391,3.0
1,396,5.0
1,399,4.0
1,401,3.5
1,411,5.0
1,412,2.0
1,414,4.0
1,420,4.0
1,422,4.0
1,432,2.5
1,434,4.0
1,436,4.0
1,438,4.5
1,443,4.0
1,448,5.0
1,451,5.0
1,453,5.0
1,456,5.0
1,460,4.5
1,462,1.5
1,468,4.0
1,469,4.0
1,470,4.0
1,471,5.0
1,474,4.0
1,476,4.0
1,477,4.0
1,480,3.0
1,483,4.0
1,484,4.5
1,488,4.5
1,490,3.5
1,492,4.0
1,500,4.0
1,504,4.0
1,509,4.0
1,514,4.0
1,517,4.0
1,522,3.0
1,524,4.0
1,525,4.0
1,528,2.5
1,529,3.0
1,533,5.0
1,534,4.0
1,541,3.0
1,544,3.0
1,550,4.0
1,555,4.0
1,559,5.0
1,560,3.0
1,561,4.0
1,562,4.5
1,567,3.5
1,570,4.0
1,572,4.0
1,573,5.0
1,579,4.0
1,580,3.0
1,584,5.0
1,587,5.0
1,590,4.0
1,596,4.0
1,597,4.0
1,599,3.0
1,600,2.5
1,601,4.0
1,603,4.0
1,604,3.0
1,605,4.0
1,606,2.5
1,607,4.0
1,608,2.5
1,609,3.0
1,610,5.0
2,6,4.0
2,8,4.0
2,18,3.0
2,19,3.0
2,20,3.0
2,21,3.5
2,27,4.0
2,51,4.5
2,62,4.0
2,68,2.5
2,82,3.0
2,91,3.0
2,93,5.0
2,94,4.0
2,103,4.0
2,104,3.0
2,107,5.0
2,112,1.5
2,117,3.0
2,122,4.0
2,125,4.0
2,135,3.0
2,140,3.5
2,144,3.0
2,149,1.0
2,153,2.0
2,160,4.0
2,169,4.0
2,177,3.5
2,186,4.0
2,202,4.0
2,217,2.0
2,219,2.5
2,221,3.5
2,222,2.5
2,226,3.0
2,230,2.5
2,232,4.0
2,240,5.0
2,249,4.0
2,259,2.0
2,274,3.5
2,276,4.0
2,284,4.0
2,288,2.0
2,294,3.0
2,298,0.5
2,299,3.0
2,304,4.0
2,305,3.5
2,307,2.5
2,308,3.0
2,318,3.5
2,321,5.0
2,322,3.0
2,323,4.0
2,330,1.5
2,347,3.0
2,353,4.0
2,357,3.0
2,359,3.5
2,373,3.0
2,380,5.0
2,381,4.0
2,395,3.0
2,411,4.0
2,414,3.0
2,425,3.0
2,426,4.5
2,432,4.0
2,434,2.5
2,436,4.0
2,446,3.0
2,447,5.0
2,448,3.0
2,458,4.0
2,470,3.0
2,474,3.0
2,475,4.5
2,476,4.0
2,477,4.0
2,480,3.0
2,482,4.5
2,483,4.0
2,484,2.5
2,489,2.5
2,497,2.5
2,501,3.0
2,512,3.0
2,517,3.0
2,523,4.5
2,525,3.5
2,527,4.0
2,534,4.5
2,559,4.0
2,561,4.0
2,563,2.5
2,566,4.0
2,570,3.5
2,573,4.5
2,586,4.0
2,590,2.5
2,592,4.0
2,594,4.0
2,599,2.5
2,600,4.0
2,602,4.0
2,604,5.0
2,605,3.5
2,608,2.0
3,1,4.0
3,6,5.0
3,19,3.0
3,32,3.0
3,42,4.0
3,43,5.0
3,44,3.0
3,51,4.0
3,58,3.0
3,64,3.5
3,68,2.0
3,91,3.0
3,100,3.5
3,102,5.0
3,116,3.5
3,117,3.0
3,150,3.0
3,151,3.0
3,169,5.0
3,179,4.0
3,217,1.0
3,226,3.5
3,240,4.0
3,269,4.0
3,270,3.0
3,288,4.0
3,289,2.5
3,294,1.0
3,302,3.0
3,307,3.5
3,308,0.5
3,321,3.0
3,330,3.0
3,337,4.0
3,368,3.0
3,410,4.0
3,414,4.0
3,448,3.0
3,456,3.0
3,470,3.0
3,477,3.0
3,480,2.5
3,492,4.0
3,501,5.0
3,544,3.0
3,552,1.0
3,555,5.0
3,588,3.0
3,590,3.0
3,594,4.0
3,599,1.5
3,608,2.0
4,6,3.0
4,14,3.0
4,84,3.0
4,162,3.0
4,262,1.0
4,411,2.0
4,600,1.5
5,6,5.0
5,31,3.0
5,43,5.0
5,45,3.0
5,58,4.0
5,66,4.0
5,68,2.0
5,84,3.0
5,103,4.0
5,107,4.0
5,111,3.5
5,117,3.0
5,120,4.0
5,121,3.0
5,147,4.5
5,150,3.0
5,169,5.0
5,170,3.0
5,181,3.0
5,200,4.0
5,229,3.0
5,269,3.0
5,270,3.0
5,276,3.0
5,288,2.0
5,321,3.0
5,337,4.0
5,353,3.0
5,389,4.0
5,402,3.0
5,414,2.0
5,437,2.0
5,448,3.0
5,451,3.0
5,456,3.0
5,458,3.0
5,470,3.0
5,474,1.5
5,483,2.5
5,489,2.0
5,490,0.5
5,492,3.0
5,501,3.0
5,509,1.5
5,521,3.0
5,561,3.0
5,590,2.0
5,600,2.5
5,604,3.0
6,1,4.0
6,6,4.0
6,11,5.0
6,18,4.0
6,23,4.0
6,24,4.5
6,28,3.5
6,32,3.0
6,44,3.0
6,45,4.0
6,57,3.0
6,62,4.5
6,64,4.5
6,68,4.0
6,79,4.0
6,82,3.5
6,84,4.0
6,91,5.0
6,102,3.0
6,105,4.0
6,109,3.0
6,112,4.5
6,117,3.0
6,121,5.0
6,140,5.0
6,150,4.0
6,160,2.0
6,166,3.5
6,181,3.0
6,182,4.5
6,191,4.0
6,195,4.0
6,199,4.0
6,202,5.0
6,217,2.0
6,219,3.5
6,220,3.5
6,239,5.0
6,244,5.0
6,266,4.0
6,269,5.0
6,270,3.0
6,274,4.0
6,282,4.0
6,286,4.5
6,294,3.0
6,297,5.0
6,305,3.5
6,308,1.0
6,312,4.0
6,313,3.0
6,314,3.0
6,317,5.0
6,318,4.0
6,325,4.0
6,336,4.0
6,337,5.0
6,339,4.0
6,353,4.0
6,362,4.0
6,368,4.0
6,372,5.0
6,373,5.0
6,380,5.0
6,385,3.0
6,386,3.0
6,389,5.0
6,391,4.0
6,400,5.0
6,414,3.0
6,425,4.0
6,434,4.0
6,437,5.0
6,438,5.0
6,444,4.0
6,451,4.0
6,469,3.0
6,470,3.0
6,474,3.0
6,480,4.0
6,486,5.0
6,492,3.0
6,493,4.0
6,501,3.0
6,521,4.0
6,524,4.0
6,532,5.0
6,553,5.0
6,559,5.0
6,561,4.0
6,573,4.5
6,577,4.0
6,580,4.0
6,588,5.0
6,590,3.5
6,592,3.0
6,597,3.0
6,599,4.5
6,602,3.0
6,603,4.0
6,604,3.0
6,610,5.0
7,6,4.0
7,14,3.0
7,19,2.0
7,31,4.0
7,32,4.0
7,33,1.0
7,42,3.0
7,43,5.0
7,45,3.0
7,51,4.0
7,58,5.0
7,68,2.0
7,71,3.0
7,84,3.0
7,90,4.0
7,95,3.0
7,117,4.0
7,150,3.0
7,169,4.5
7,177,1.0
7,179,3.0
7,181,3.0
7,188,4.0
7,199,3.0
7,206,4.0
7,257,1.0
7,262,3.0
7,270,3.0
7,276,4.0
7,280,4.5
7,286,3.5
7,304,4.0
7,314,4.0
7,337,3.0
7,350,3.0
7,411,3.0
7,414,3.0
7,451,3.0
7,470,3.0
7,474,3.0
7,489,4.0
7,492,3.0
7,498,4.0
7,501,4.0
7,510,1.0
7,513,3.0
7,521,3.0
7,529,2.0
7,541,4.0
7,566,4.0
7,597,1.0
7,599,2.5
7,600,3.5
7,606,2.5
8,6,3.0
8,20,1.0
8,43,5.0
8,274,3.0
8,372,2.0
8,414,3.0
8,436,3.0
8,501,3.0
9,151,4.0
9,179,3.0
9,217,3.0
9,269,2.0
9,270,3.0
9,337,5.0
9,353,3.0
9,364,3.0
9,389,3.0
9,402,3.0
9,428,2.0
9,437,3.0
9,456,4.0
9,464,2.5
9,492,5.0
9,599,1.5
10,6,3.0
